Title,Collection,MediaType,PhysicalFormat,Generations,DateofOriginalWork,Description
Patternity Gestures - Tape 1 - Wide Y/Scape - Orig. - T.C. - 1084B,SD_02_02,Moving Image,Betacam,Original,,
Patternity Gestures - Tape 2 - Wide L/Scape - Orig. - T.C. - 1085B,SD_02_02,Moving Image,Betacam,Original,,
Patternity Gestures - Tape 3 - Wide L/Scape - Orig. - T.C. - 1086B,SD_02_02,Moving Image,Betacam,Original,,
Patternity Gestures - Tape 4 - Orig. - T.C. - 1087B,SD_02_02,Moving Image,Betacam,Original,,
Patternity Gestures - Tape 5 - Orig. - T.C. - 1088B,SD_02_02,Moving Image,Betacam,Original,,
Patternity Gestures - Tape 6 - Orig. - T.C. - 1089B,SD_02_02,Moving Image,Betacam,Original,,
2 - J.D. Diamond - Tape 02,SD_02_02,Moving Image,Betacam,,,
4 - Tape 04,SD_02_02,Moving Image,Betacam,,,
"6 - 06 - J.D. Diamond - June 17, 88 - JDD",SD_02_02,Moving Image,Betacam,,1988-06-17,
7 - 07 - J.D. Diamond,SD_02_02,Moving Image,Betacam,,,
8 - 08 - J.D. Diamond,SD_02_02,Moving Image,Betacam,,,
9 - 09 - J.D. Diamond,SD_02_02,Moving Image,Betacam,,,
11 - 11.00 - J.D. Diamond,SD_02_02,Moving Image,Betacam,,1988-06-17,
17 - #17 - JDD,SD_02_02,Moving Image,Betacam,,,
19 - #19 - JDD,SD_02_02,Moving Image,Betacam,,,
20 - #20 - JDD,SD_02_02,Moving Image,Betacam,,,
21 - JDD #21 - (20:20+) - *I forgot to mark - Time Code # - 20:20 Upwards,SD_02_02,Moving Image,Betacam,,,
23 - Tape 23 - JDD - *23:17:50 / Where left off,SD_02_02,Moving Image,Betacam,,,
25 - 25:01 = 1:30,SD_02_02,Moving Image,Betacam,,,
26 - 26 = 2:30,SD_02_02,Moving Image,Betacam,,,
29 - 29 - 4:30,SD_02_02,Moving Image,Betacam,,,
30 - 30 - 5:30,SD_02_02,Moving Image,Betacam,,,
#1 - 8.29.89 - L.E.S,SD_02_02,Moving Image,Betacam,Master,1989-08-29,
#2 - 8.29.89 - L.E.S.,SD_02_02,Moving Image,Betacam,Master,1989-08-29,
#3 - 8.29.89 - L.E.S.,SD_02_02,Moving Image,Betacam,Master,1989-08-29,
#4 - 8.29.89 - L.E.S.,SD_02_02,Moving Image,Betacam,Master,1989-08-29,
#5 - Lower East Side - 8.29.89 - S. Diamond,SD_02_02,Moving Image,Betacam,Master,1989-08-29,
#6 - L.E.S. - Union Sq. - Diamond,SD_02_02,Moving Image,Betacam,Master,,
#7 - Union Square - Aug. 30,SD_02_02,Moving Image,Betacam,Master,1989-08-30,
#8 - Union Sq.,SD_02_02,Moving Image,Betacam,Master,1989-08-30,
#9 - 8.30.89 - City Hall - Sara Diamond,SD_02_02,Moving Image,Betacam,Master,1989-08-30,
#10 - 8.30.89 - L.E.S.,SD_02_02,Moving Image,Betacam,Master,1989-08-30,
#11 - 8.30-31.1989 - L.E.S.,SD_02_02,Moving Image,Betacam,Master,1989-08-30,
#12 - 8.31.89 - L.E.S.,SD_02_02,Moving Image,Betacam,Master,1989-08-31,
"#13 - 8.31.89 - L.E.S., Bklyn Bridge",SD_02_02,Moving Image,Betacam,Master,1989-08-31,
#14 - Aug 31. 89 - Bkyln & Manhattan Bridge,SD_02_02,Moving Image,Betacam,Master,1989-08-31,
#15 - 8.31.89 - Brooklyn Street Scenes,SD_02_02,Moving Image,Betacam,Master,1989-08-31,
#22 - 9.1.89 - Bronx,SD_02_02,Moving Image,Betacam,Master,1989-09-01,
#23 - 9.1.89 - Bronx,SD_02_02,Moving Image,Betacam,Master,1989-09-01,
13 - J.D. Diamond - #13,SD_02_02,Moving Image,Betacam,,,
12 - JDD - #12 - June 17/80,SD_02_02,Moving Image,Betacam,,1988-06-17,
"VHS # 5 - 25, 26, 27, 28, 29, 30",SD_02_02,Moving Image,VHS,,,
Paternity Project June 3/86,SD_02_02,Sound,Audio cassette,Original,1986-06-03,
"Ten Dollars or Nothing - Daughters Have Courage - Mothers Take Heart - Featuring Josephine Charlie - Produced/Directed by Sara Diamond - c. 1989 WLHP / Diamond - 11:47 min., colour, mono: 2 channels",SD_02_02,Moving Image,3/4 inch videotape: U-matic,,,
Jonnie Rankin 1 - Worktape - Copy - Non TC - 1262U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
Jonnie Rankin 2 - Worktape - Copy - Non TC - 1262U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
Jonnie Rankin 3 - Worktape - Copy - Non TC - 1262U,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Work tapes,,
Betty Griffin - 1/3 - Copy,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Betty Griffin - 2 of 3 - Copy,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Betty Griffin - 3 of 3 - Copy,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,Copy,,
Marj Storm - Tape 1,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Marj Storm - Tape 1,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Marj Storm - Tape 1,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marj Storm - Tape 2,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Marj Storm - Tape 2,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Marj Storm - Tape 2,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marj Storm - Tape 3,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Marj Storm - Tape 3,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Marj Storm - Tape 3,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marj Storm - Tape 4,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Marj Storm - Tape 4,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Marj Storm - Tape 4,SD_01_02,Moving Image,3/4 inch videotape: U-matic SP,,,
Marge Storm - Copy 4,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Dub,,
