Title,Collection,MediaType,PhysicalFormat,Generations,DateofOriginalWork,Description
ii BC Misc. - 2nd Gen. - i End of Van. Isle. Relief Camps - NON TC - 415B,SD_01_02,Moving Image,Betacam,Copy,,
ii. Kennedy Lake - iii. W. Coast Isle Fishing - 1st Gen. - i. Barclay Sound - NON TC - 417B,SD_01_02,Moving Image,Betacam,Submaster,,
i. Hop Pick'g in the Fraser Valley - ii. Fish and Medicine Man - 2nd Gen. - NON TC - 418B - B.C. Indians at Work,SD_01_02,Moving Image,Betacam,Copy,,
Busy Season in the Lower Fraser Valley - 2nd Gen. - NON TC - 419B - Tobacco Growing,SD_01_02,Moving Image,Betacam,Copy,,
i. Canadian Army #76 - ii. Logging Camps - 2nd Gen. - NON TC - 420B,SD_01_02,Moving Image,Betacam,Copy,,
i. To the Ports of the World Thro Van - ii. Posture - iii. Japanese on the W. Coast - iv. Cadets in Vancouver - 2nd Gen. - NON TC - 421B,SD_01_02,Moving Image,Betacam,,,
i. NFB I Stock Shots (Pt. 1 of 3) - i422B,SD_01_02,Moving Image,Betacam,Dub,,
i. NFB I Stock Shots (Pt. 2 of 3) - ii422B,SD_01_02,Moving Image,Betacam,,,
NFB I Stock Shots (Pt. 3 of 3) - iii422B,SD_01_02,Moving Image,Betacam,,,
i. NFB II Stock Shots 1930s - 2nd Gen. - NON TC - 423B,SD_01_02,Moving Image,Betacam,Copy,,
Pemberton Valley (Pt. 2 of 3) - 1st Gen. - NON T.C. - 427B,SD_01_02,Moving Image,Betacam,Submaster,,
Co-Eds on Skis - BC Prov Archives - NON TC - 439B,SD_01_02,Moving Image,Betacam,,,
Dorothy's Dream House - BCPA - 1st Gen. - NON TC - 440B,SD_01_02,Moving Image,Betacam,Submaster,,
BC Tel - 1st Gen. - NON TC - 451B,SD_01_02,Moving Image,Betacam,Submaster,,
i. CIL Commercial - ii. Her Own Fault - 1st Gen. - What's in a Name - NON TC - 452B,SD_01_02,Moving Image,Betacam,Submaster,,
i. Cold Facts from the Northland - Conclu - ii. To Realize Victoria - iii. The Breadwinner (see 407 w/audio) - 1st Gen. - w/out Audio - TC - 454B,SD_01_02,Moving Image,Betacam,Submaster,,
Japanese Canadians Pt. 1 of 2 - 1st Gen. - NON TC - 470B,SD_01_02,Moving Image,Betacam,Submaster,,
Japanese Canadians Pt. 2 of 2 - 1st Gen. - NON TC - 471B,SD_01_02,Moving Image,Betacam,Submaster,,
Land of Sky Blue Waters - 1st Gen. - NON TC - 473B,SD_01_02,Moving Image,Betacam,Submaster,,
i. May Day & Scenes at Salmon Arm 3&4 - ii. May Day & Scenes at Salmon Arm 5 - iii. Van. Fair 1931 - iv. Can's New Deal - 1st Gen. - NON TC - 476B,SD_01_02,Moving Image,Betacam,Submaster,,
i. News Flashes - ii. A Royal Visit BCPA - 1st Gen. - NON TC - 478B,SD_01_02,Moving Image,Betacam,Submaster,,
How Business Keep Well - 2nd Gen. - NON TC - 522B,SD_01_02,Moving Image,Betacam,Copy,,
Japanese Canadians At Play I - Orig. - T.C. - 557B,SD_01_02,Moving Image,Betacam,Original,,
Japanese Canadians At Play II - Orig. - T.C. - 558B,SD_01_02,Moving Image,Betacam,Original,,
[Unlabelled],SD_01_02,Moving Image,Betacam,,,
i. This Changing World - ii. Children's Aid Society - 1st Gen. - NON TC - 406B,SD_01_02,Moving Image,Betacam,Submaster,,
This Changing World - Children's Aid Society - 406B,SD_01_02,Moving Image,Betacam,Original,,
BC Forest Museum - 1st Gen. - NON TC - 438B,SD_01_02,Moving Image,Betacam,Submaster,,
ii Posture for Poise - ii458B,SD_01_02,Moving Image,Betacam,,,
Lake Cowichan - Exteriors Pt. 3 of 3 - 2nd Gen. - NON TC - 459B,SD_01_02,Moving Image,Betacam,,,
River of Paper Pt. 1&3 of 3 - 1st Gen. - NON TC - 481B,SD_01_02,Moving Image,Betacam,,,
The Sweet and the Bitter - Pt. 2 of 3 - ii486B,SD_01_02,Moving Image,Betacam,,,
The Sweet and the Bitter - Pt. 3 of 3 - 1st Gen. - NON TC - iii486B,SD_01_02,Moving Image,Betacam,Submaster,,
CBC 2 - 1st Gen. - NON TC - 488B,SD_01_02,Moving Image,Betacam,Submaster,,
711Bii - 07:40:00 - Lk. Cowichan + BC Forest Museum,SD_01_02,Moving Image,Betacam,,,
LBTS - Tape 2 Stills - 2nd Gen. - T.C. - 797Bii,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 4 Stills - 2nd Gen. - T.C. - 799B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 6 Stills - 2nd Gen. - T.C. - 802B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 7 Stills - 2nd Gen. - T.C. - 803B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 9 Stills - 2nd Gen. - T.C. - 805B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 10 Stills - 2nd Gen. - T.C. - 806B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 11 Stills - 2nd Gen. - T.C. - 807B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 13 Stills - 2nd Gen. - T.C. - 809B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 14 Stills - 2nd Gen. - T.C. - 810B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 17 Stills - 2nd Gen. - T.C. - 813B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 18 Stills - 2nd Gen. - T.C. 814B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 19 Stills - 2nd Gen. - T.C. - 815B,SD_01_02,Moving Image,Betacam,Copy,,
CCL - Her Own Fault - What's In A Name,SD_01_02,Moving Image,VHS,,,
#1 Songs-Montage - #2 Thematic - #3 Thematic - #4 Character - #5 Women Only,SD_01_02,Moving Image,VHS,,,
1. Bennet Defeats King / Fwd. Canada / Gestern / Royal Can Dragons / May Days Salmon Arm 3-5 / Van Four 1931 Canada's New Deal / Breadwinner / Logging Morg. Lake / Orn. Swim / May Day Salm 1/2 / Pemberton 1/2,SD_01_02,Moving Image,VHS,,,
Jump Street Chapel: 16113 - Stephen J. Cannell Prod Act 391,SD_01_02,Moving Image,VHS,,,
[Unlabelled],SD_01_02,Moving Image,8 mm Hi8 Video,,,
Lull Before the Storm (The Forties) - Part One - Duration 48:05 mins - NTSC,SD_01_02,Moving Image,VHS,,,
Hygiene,SD_01_02,Moving Image,Betacam SP,,,
Tape 1 Tom Whitefoot Collection - 1st Gen. - NON T.C. - i429B,SD_01_02,Moving Image,Betacam,Submaster,,
Tape 2 Tom Whitefoot Collection - 1st Gen. - NON T.C. - ii429B,SD_01_02,Moving Image,Betacam,Submaster,,
Tape 4 Tom Whitefoot Collection - 1st Gen. - NON T.C. - ii430B,SD_01_02,Moving Image,Betacam,Submaster,,
Trees for Tomorrow - BCPA - 1st Gen. - NON T.C. - 449U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
1950's Stills Mrs. Dley - #1 - 1st Gen. - NON TC - 463B,SD_01_02,Moving Image,Betacam,Submaster,,
1950's Stills - S. Diamond - #1 - 1st Gen. - NON TC - 464B,SD_01_02,Moving Image,Betacam,Submaster,,
"i Our Daily Bread - ii 15"" of ""Our Daily Bread"" - 1st Gen. - NON TC - 492U",SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
i Vitamin Wise - ii Tsimshian - iii Cdn. Army 34 - iv Cdn. Army - 2nd Gen. - NON TC - 500U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Copy,,
NFSTA Fishing Footage & Logging 1930's - 1st Gen. - NON TC - 506U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
PABC - Lets Go Fishing - 1st Gen. - NON TC - 507U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
CDN. Portrait 1966 - 1st Gen. - NON TC - 508U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
i. 1950's Stills #1 - ii. 1950's Stills #2 - iii. 1950's Stills #3 - Mrs. Dley and Family Photos - 1st Gen. - NON TC - 511U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
FTBT - 1930s - #8 - 12:00:00,SD_01_02,Moving Image,Betacam SP,,,
The Breadwinner (conclusion) - original - T.C. - 407Bi,SD_01_02,Moving Image,Betacam,Original,,
NFB Stock Shots - Original - NON T.C. - 422Uii,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Original,,
i. Bennett Defeats MacKenzie King - ii. Forward Can. - iii. Gestern un Heute - iv. Royal Dragoons Musical Ride - v. Royal Dragoons - 1st Gen. - NON TC - 437B,SD_01_02,Moving Image,Betacam,Submaster,,
Dinner w/ Miss Creden - BCPA - Pt. 1 of 2 - 1st Gen. - NON TC - 445B,SD_01_02,Moving Image,Betacam,Submaster,,
Dinner w/ Miss Creden - BCPA - Pt. 2 of 2 - 1st Gen. - NON TC - 445B,SD_01_02,Moving Image,Betacam,Submaster,,
i. Motors on March - ii. Hands for Harvest (408) - Handle with Care - 1st Gen. - NON TC - 494U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
Spruce Newsreel - 1st Gen. - NON TC - 499U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
Lull Before the Storm - Tape #16 - Stills,SD_01_02,Moving Image,Betacam,,,
Tape E Sara w/Lenin 50 yrs of Radio - Copy - NON T.C. - 566U,SD_01_02,Moving Image,Betacam,,,
LBTS - Tape 5 Stills - 2nd Gen. - T.C. - 800B,SD_01_02,Moving Image,Betacam,Copy,,
LBTS - Tape 8 Stills - 2nd Gen. - T.C. - 804B,SD_01_02,Moving Image,Betacam,Copy,,
2nd Section Nun w/ Crucifix - Orig. - Banff - NON TC - 1522U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Original,1991-06-23,
BC Indians II - (Pt. 1 orig. #521) - 1st Gen. - NON TC - 401U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,
A Friend at the Door - 1st Gen. - NON TC - 425U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,,"About BC's Social workers in remote areas of BC - co-produced with BC Ministry of Social Services, Obtained from BC Ministry of Social Services and Housing. Transferred from 16mm."
Daughter's Have Courage! Mothers Take Heart! - I. Josephine Charlie - 1989 - 11:00 - Colour - Stereo - 928U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Master,,
"Keeping the Home Fires Burning - Written & Directed by Sara Diamond - c. Women's Labour History Project 1988 - 49 minutes - Colour - 3/4"" NTSC",SD_01_02,Moving Image,3/4 inch videotape: U-matic,Copy,,
FTBT - 1930s drama - #12,SD_01_02,Moving Image,Betacam SP,,,
FTBT - ext - waterfront - dry docks,SD_01_02,Moving Image,Betacam SP,,,
FTBT - Rural Scenes,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - 11.30.00,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - #10,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - #15,SD_01_02,Moving Image,Betacam SP,,,
WLHP Stock - FTBT - Mrs. Tagashira - #1,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
WLHP Stock - FTBT - Mrs. Tagashira - #1,SD_01_02,Moving Image,Hard Drive,Copy: access,,
WLHP Stock - FTBT - Mrs. Tagashira - #1,SD_01_02,Moving Image,Betacam SP,,,
FTBT - Mrs. Tagashira - #3,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
FTBT - Mrs. Tagashira - #3,SD_01_02,Moving Image,Hard Drive,Copy: access,,
FTBT - Mrs. Tagashira - #3,SD_01_02,Moving Image,Betacam SP,,,
FTBT - E. Fordham - #1,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
FTBT - E. Fordham - #1,SD_01_02,Moving Image,Hard Drive,Copy: access,,
FTBT - E. Fordham - #1,SD_01_02,Moving Image,Betacam SP,,,
FTBT - E. Fordham - #3,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
FTBT - E. Fordham - #3,SD_01_02,Moving Image,Hard Drive,Copy: access,,
FTBT - E. Fordham - #3,SD_01_02,Moving Image,Betacam SP,,,
Liz Wilson Audio - 01.12.52.20,SD_01_02,Moving Image,Betacam,,,
"Tap III - Oxford House 0 Tape II - Ballantyne Pier/Burrard Dry Docks - Tape I - Medical Dental Georgia Sinclair Centre + IV, V, VI - WLHP - 1930s",SD_01_02,Moving Image,VHS,,,
"Tapes #7, #8, #9, #10, #11, #12 (Part 1) - 1930s - (Shot Sept. 9, 88) - WLHP",SD_01_02,Moving Image,VHS,,1988-09,Tape #7 - Louise Leaves Home / Domestic Job / Silver Polishing / Tea Service - Tape #8 - Rudnicki's Dining Room - Tape #9 - 1930s Drama Rudnicki - Tape #10 - Old Trains + Sara's House - Tape #11 - Sara's House - Tape #12 - Armchair w/ Clothes (Part 1) - 1930s - Shot Sept. 88 - WLHP
Tapes #12 (Pt. 2) - 1930s - Shot Sept. 88 - WLHP,SD_01_02,Moving Image,VHS,,1988-09,"Tape #12 (Pt. 2) - Armchair w/ Clothes - Magazine - Breakfast - Tape #13 - Picking Plums, Laundryline, looking Out Window - Tape #14 - Letter Writing, Magazines - Tape #15 - Sunrise Market, Powell Street, Ghio Rooms, Powell St. Grounds - Tape #16 - Cont Powell St. Gds + School Yards - Tape #17 - Props + Stills - Pregnancy, Ironing - 1930s (Shot Sept. 88) - WLHP"
"Working TV - #50 - 04/11/96 & #51 11/10/96 - ""Women's March Against Poverty"" - Parts 1 & 2",SD_01_02,Moving Image,VHS,,,
Cold Facts - To Realize Victoria - Hop Picking: Fraser Valley - Tobacco Growing - Busy Season Fraser Valley - Fish + Meds - Sumas - Strawberry Growing/Van Isle - Keating BC - Peas Fraser Valley - CBC 1/2,SD_01_02,Moving Image,VHS,,,
Fire! - Humanity's - Yuchi Oklahoma - The Memory - Worn - Mohawk Quebec - American Center - Apache,SD_01_02,Moving Image,VHS,,,
This Changing World - Children's Aid Society - Peste I - Whitefoot II - NFB Stock Shots - Depression - News Flash - Royal Visit - Lady from Shanghai - May Day (Parade) - Job For You - Gateway to Asia - Hands Harvest - Tsimshian - BC Inds,SD_01_02,Moving Image,VHS,,,
CBC # 3 + 4 - Newsmag,SD_01_02,Moving Image,VHS,,,
PAL,SD_01_02,Moving Image,VHS,,,
Women's Labour History Project - Length 17:20 - Telepost - Film & Video,SD_01_02,Moving Image,VHS,,,29/92
Lull Before the Storm (The Women of the Wood) - Part Three - 48:52,SD_01_02,Moving Image,VHS,,,
Ubiquitous Intelligence - English duration 13:40 - Producer Sara Diamond - Feb/97 - Stereo,SD_01_02,Moving Image,VHS,,1997-02,
VH 8450/30,SD_01_02,Moving Image,VHS,,,
Barclay Sound - Kennedy Lake + W. Van Isl. Fishing - Work Camps - Relief Camps - BC Misc. - Pics 1930s,SD_01_02,Moving Image,VHS,,,
"Fit to Be Tied - Prod: Sara Diamond - Dur: 24min 25sec - April 2, 1995 - NTSC/Stereo",SD_01_02,Moving Image,VHS,,1995-04-02,
"Fit to Be Tied - Prod: Sara Diamond - Dur: 24min 25sec - April 2, 1995 - NTSC/Stereo",SD_01_02,Moving Image,VHS,,1995-04-02,
"Keeping the Home Fires Burning - ""Women & Work in British Columbia"" - Written & Directed by Sara Diamond - 29 minutes",SD_01_02,Moving Image,VHS,,,
"Keeping the Home Fires Burning - 49 minutes - Diamond WLHP 1988 - ""Women, War, Work, and Unions in British Columbia""",SD_01_02,Moving Image,VHS,,,
Leam's Birth Tape - Side 1 - 3 3/4 - Rose Diamond on Mary Diamond,SD_01_02,Sound,1/4 inch audio tape,,,
Lil Stoneman - Side One - Tape Has Problem with Volume Variation,SD_01_02,Sound,1/4 inch audio tape,,,
Mrs. Charlie - Brother - Side 1,SD_01_02,Sound,1/4 inch audio tape,,,
Buster Foster - Copy - Side One; Two,SD_01_02,Sound,1/4 inch audio tape,Copy,,
Myrtle Bergren - Copy - Side 1 & 2,SD_01_02,Sound,1/4 inch audio tape,Copy,,
Anita Andersen - I,SD_01_02,Sound,1/4 inch audio tape,,,
Sara McKinnon - Side 1 & Side 2,SD_01_02,Sound,1/4 inch audio tape,,,
"Working Women Unite Tape - Side 1 - Ellen Barber - 1914-1918 - Laundry workers - Myrtle Bergren - 1920s-1930s - Agricultural Labour - Lil Stoneman - 1930s - Unemployed - Effie Jones - 1930s - Unemployed, Housewives League - Marion Sapich - Organizing - Josephine Charlie - 30s Cannery Workers - Side 2 - Jonnie Rankin - 1940s - Shipyards; Daycare - Gladys Hilland - 1940s - Wood Industry; IWA",SD_01_02,Sound,1/4 inch audio tape,,,
Ruth Bullock - Track 1 - Most of this tape is empty - showed be edited onto reel - so can use tape - Side Four,SD_01_02,Sound,1/4 inch audio tape,,,
Reel One - Reel One: Ruth Bullock - 1930s - Side 2 - Track 4 - 3rd Side - Women's Auxillary - OTEU Attempts To Org - Side One - Depression - Side Three - Burrard Docks - On This Tape,SD_01_02,Sound,1/4 inch audio tape,,,
Ruth Bullock - Sides 1 & 2 - Dubbed Copy - Side One: 1928-1943 - Side Two: 1943 ->,SD_01_02,Sound,1/4 inch audio tape,Dub,,
Ruth Bullock - Reel 2 - Side 2 of Interview - Only One Side Recorded,SD_01_02,Sound,1/4 inch audio tape,,,
Liz Wilson - Edited Copy - Not Final Edit,SD_01_02,Sound,1/4 inch audio tape,,,
Liz Wilson - Liz Wilson - Side 1 & 2 - Original - 2 other copies - Edited r for - Edited Cassette,SD_01_02,Sound,1/4 inch audio tape,,,
Side 1 - Alice Person - Bill White - Sound Montage 1940s - Jonnie Rankin - Upside Down Segments - Hopes & Dreams - Song,SD_01_02,Sound,1/4 inch audio tape,,,
Copy - Alice Person - II,SD_01_02,Sound,1/4 inch audio tape,Copy,,
Mrs. Alice Person - 2nd Reel (take) - Original - Side 1 & 2 : Track 1 - Not for Release,SD_01_02,Sound,1/4 inch audio tape,,,
A. Person - Side One - Alice Person - Track 1 - Side 2 - Track 1 - 1st Take,SD_01_02,Sound,1/4 inch audio tape,,,
Youbou Mill - 544B,SD_01_02,Moving Image,Betacam,,1989-09,
Youbou Mill - 545B,SD_01_02,Moving Image,Betacam,,,
1950s - Stills - S. Diamond - #2 - 1st Gen. - 465B - NON TC,SD_01_02,Moving Image,Betacam,Submaster,,
The Great Potential - 1st Gen. - NON TC - 466B,SD_01_02,Moving Image,Betacam,Submaster,,
Honeymoon Bay - 1st Gen. - NON TC - 467B,SD_01_02,Moving Image,Betacam,Submaster,,
i Honeymoon Bay Mill - ii Nels and June Olsen - 1st Gen. - 468B - NON TC,SD_01_02,Moving Image,Betacam,Submaster,,
i Equal Pay for Women (Promr) - ii CBC/Close-up June 1-1958 - 1st Gen. - NON TC - 469B,SD_01_02,Moving Image,Betacam,Submaster,,
                               ,SD_01_02,Moving Image,Betacam,Submaster,,
Lil Goffrey's Garden - 2nd Gen. - NON TC - 474B,SD_01_02,Moving Image,Betacam,Copy,,
Lil Goffrey - 2nd Gen. - NON TC - 475B,SD_01_02,Moving Image,Betacam,Copy,,
i New Ways with Pork - ii Servons du Porc Frais - 1st Gen. - NON TC - 477B,SD_01_02,Moving Image,Betacam,Submaster,,
Salmon for Food - 1st Gen. - 482B - NON TC,SD_01_02,Moving Image,Betacam SP,Submaster,,
Salmon Cannery - 1st Gen. - NON TC - 483B,SD_01_02,Moving Image,Betacam,Submaster,,
Sikh - 1st Gen. - NON TC - 484B,SD_01_02,Moving Image,Betacam,Submaster,,
CBC 1 - 1st Gen. - NON TC - 487B,SD_01_02,Moving Image,Betacam,Submaster,,
CBC 3 - 1st Gen. - NON TC - 489B,SD_01_02,Moving Image,Betacam,Submaster,,
CBC 4 - 1st Gen. - NON TC - 490B,SD_01_02,Moving Image,Betacam,Submaster,,
Cayuse - 14:40:00 - T.C. - 573B,SD_01_02,Moving Image,Betacam,,,
Cayuse + Draper Hill - 15:40:00 - T.C. - 574B,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - Ext #1- Pier 1 Marine View Deck - 16:30:00,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - 1930s #1- Medical - 17:00:00,SD_01_02,Moving Image,Betacam,,,
FTBT - 1930s - #2 - 13:30:00,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - #2 - 14:30:00,SD_01_02,Moving Image,Betacam SP,,,
Fit To Be Tied - 1930s - #3,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - 1930s - #4,SD_01_02,Moving Image,Betacam,,,
FTBT - 1930s - #5 - 14:00:00,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - #7,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - #11,SD_01_02,Moving Image,Betacam SP,,,
Fit to be Tied - Stills - #20,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - Stills - #20,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - Stills - #21,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - Stills - #22,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - Stills - #23 - Depression - 20:30:00,SD_01_02,Moving Image,Betacam,,,
"Fit to be Tied - Stills - #26 - 1930s, magazines - 21:30:00",SD_01_02,Moving Image,Betacam,,,
FTBT - 1930s - Props - 13:00:00,SD_01_02,Moving Image,Betacam SP,,,
Drama 18 - FTBT - Cover - Cenotaph - 12:30:00,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - Ext,SD_01_02,Moving Image,Betacam SP,,,
FTBT - Prt 2-3,SD_01_02,Moving Image,Betacam SP,,,
FTBT - Prt 4-5-6-7,SD_01_02,Moving Image,Betacam SP,,,
FTBT - 1930s - Drama - #9 - Rudnicki's,SD_01_02,Moving Image,Betacam SP,,,
BC Apples Jingle - Audio + B Reel,SD_01_02,Moving Image,Betacam SP,,,
Vitamin Wise - 1st Gen. - NON TC - 402B,SD_01_02,Moving Image,Betacam,Submaster,,
Trees for Tomorrow - BCPA - 2nd Gen. - NON T.C. - 449U,SD_01_02,Moving Image,Betacam,Dub,,
FTBT - Prt 8 + 9,SD_01_02,Moving Image,Betacam SP,,,
FTBT VI,SD_01_02,Moving Image,Betacam SP,,,
B Reel for Master Assemble - Fit to be Tied,SD_01_02,Moving Image,Betacam SP,,,
i) Stills - 1930s #28 - ii) Stills 1950s #29 - 00:23:44:0,SD_01_02,Moving Image,Betacam SP,,,
Stills from 1930s - #30,SD_01_02,Moving Image,Betacam SP,,,
i. Tsimshian Indians - ii. B.C. Indians - Pt. 1 of 2 - 1st Gen. - NON TC - 400B,SD_01_02,Moving Image,Betacam,,,
Vancouver Diamond Jubilee - NON TC - 412B,SD_01_02,Moving Image,Betacam,,,
Lil Godfrey - 1st Gen. - NON TC - 708B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Lil Godfrey - 1st Gen. - NON TC - 708B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Lil Godfrey - 1st Gen. - NON TC - 708B,SD_01_02,Moving Image,Betacam,Submaster,,
Lil Godfrey - 1st Gen. - NON TC - 709B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Lil Godfrey - 1st Gen. - NON TC - 709B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Lil Godfrey - 1st Gen. - NON TC - 709B,SD_01_02,Moving Image,Betacam,Submaster,,
Irene Seed - 1st Gen. - NON TC - 710B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Irene Seed - 1st Gen. - NON TC - 710B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Irene Seed - 1st Gen. - NON TC - 710B,SD_01_02,Moving Image,Betacam,Submaster,,
Irene Seed - 1st Gen. - NON TC - 711B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Irene Seed - 1st Gen. - NON TC - 711B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Irene Seed - 1st Gen. - NON TC - 711B,SD_01_02,Moving Image,Betacam,Submaster,,
Irene Seed - 1st Gen. - NON TC - 712B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Irene Seed - 1st Gen. - NON TC - 712B,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Irene Seed - 1st Gen. - NON TC - 712B,SD_01_02,Moving Image,Betacam,Submaster,,
Tape Two - Eileen Sufrin - May '89 - 1st Gen. - NON TC - 714B,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1989-05,
Tape Two - Eileen Sufrin - May '89 - 1st Gen. - NON TC - 714B,SD_01_02,Moving Image,Hard Drive,Copy: access,1989-05,
Tape Two - Eileen Sufrin - May '89 - 1st Gen. - NON TC - 714B,SD_01_02,Moving Image,Betacam,Submaster,1989-05,
E. Nuttall - Tape 5 - Master - T.C. - 1223U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
E. Nuttall - Tape 5 - Master - T.C. - 1223U,SD_01_02,Moving Image,Hard Drive,Copy: access,,
E. Nuttall - Tape 5 - Master - T.C. - 1223U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Master,,
Nancy Bucker - Tape 2 - Sept 16-87 - 1st Gen. - NON TC - 1235U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-09-16,
Nancy Bucker - Tape 2 - Sept 16-87 - 1st Gen. - NON TC - 1235U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-09-16,
Nancy Bucker - Tape 2 - Sept 16-87 - 1st Gen. - NON TC - 1235U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,1987-09-16,
Nancy Bucker - Tape 3 - Sept 16-87 - 1st Gen. - NON TC - 1236U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-09-16,
Nancy Bucker - Tape 3 - Sept 16-87 - 1st Gen. - NON TC - 1236U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-09-16,
Nancy Bucker - Tape 3 - Sept 16-87 - 1st Gen. - NON TC - 1236U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,1987-09-16,
Nancy Bucker - Tape 4 - Oct 10-87 - 1st Gen. - NON TC - 1237U,SD_01_02,Moving Image,Hard Drive,Copy: preservation,1987-10-10,
Nancy Bucker - Tape 4 - Oct 10-87 - 1st Gen. - NON TC - 1237U,SD_01_02,Moving Image,Hard Drive,Copy: access,1987-10-10,
Nancy Bucker - Tape 4 - Oct 10-87 - 1st Gen. - NON TC - 1237U,SD_01_02,Moving Image,3/4 inch videotape: U-matic,Submaster,1987-10-10,
Fit to be Tied - Audio - Effie Jones,SD_01_02,Moving Image,Betacam,,,
Fit to be Tied - Ruth Bullock #1,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
Fit to be Tied - Ruth Bullock #1,SD_01_02,Moving Image,Hard Drive,Copy: access,,
Fit to be Tied - Ruth Bullock #1,SD_01_02,Moving Image,Betacam,,,
FTBT #2 - Ruth Bullock - WLHP Stock,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
FTBT #2 - Ruth Bullock - WLHP Stock,SD_01_02,Moving Image,Hard Drive,Copy: access,,
FTBT #2 - Ruth Bullock - WLHP Stock,SD_01_02,Moving Image,Betacam SP,,,
FTBT - Ruth Bullock #3,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
FTBT - Ruth Bullock #3,SD_01_02,Moving Image,Hard Drive,Copy: access,,
FTBT - Ruth Bullock #3,SD_01_02,Moving Image,Betacam SP,,,
Fit to be Tied - Lil Stoneman - Audio,SD_01_02,Moving Image,Betacam,,,
FTBT - Alice Person #1 - WLHP Stock,SD_01_02,Moving Image,Hard Drive,Copy: preservation,,
FTBT - Alice Person #1 - WLHP Stock,SD_01_02,Moving Image,Hard Drive,Copy: access,,
